Java HotSpot(TM) 64-Bit Server VM (25.0-b70) for linux-amd64 JRE (1.8.0-b132), built on Mar  4 2014 03:07:25 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32865776k(30163980k free), swap 2047992k(2047992k free)
CommandLine flags: -XX:CMSInitiatingOccupancyFraction=30 -XX:InitialHeapSize=25769803776 -XX:MaxHeapSize=25769803776 -XX:MaxNewSize=134217728 -XX:MaxTenuringThreshold=6 -XX:NewSize=134217728 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:ThreadStackSize=2048 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2014-04-09T12:18:59.241+0900: 2.242: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(25034752K)] 50411K(25152768K), 0.0633407 secs] [Times: user=0.20 sys=0.00, real=0.06 secs] 
2014-04-09T12:18:59.305+0900: 2.306: [CMS-concurrent-mark-start]
2014-04-09T12:18:59.314+0900: 2.315: [CMS-concurrent-mark: 0.009/0.009 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-04-09T12:18:59.314+0900: 2.315: [CMS-concurrent-preclean-start]
2014-04-09T12:18:59.429+0900: 2.430: [CMS-concurrent-preclean: 0.115/0.115 secs] [Times: user=0.38 sys=0.03, real=0.11 secs] 
2014-04-09T12:18:59.429+0900: 2.430: [CMS-concurrent-abortable-preclean-start]
2014-04-09T12:19:01.043+0900: 4.044: [GC (Allocation Failure) 4.045: [ParNew: 104960K->12684K(118016K), 0.0639888 secs] 104960K->12684K(25152768K), 0.0641097 secs] [Times: user=0.73 sys=0.03, real=0.06 secs] 
 CMS: abort preclean due to time 2014-04-09T12:19:04.550+0900: 7.551: [CMS-concurrent-abortable-preclean: 4.323/5.121 secs] [Times: user=9.14 sys=0.23, real=5.12 secs] 
2014-04-09T12:19:04.551+0900: 7.552: [GC (CMS Final Remark) [YG occupancy: 39155 K (118016 K)]7.552: [Rescan (parallel) , 0.0199571 secs]7.572: [weak refs processing, 0.0000419 secs]7.572: [class unloading, 0.0248468 secs]7.597: [scrub symbol table, 0.0043571 secs]7.601: [scrub string table, 0.0010441 secs][1 CMS-remark: 0K(25034752K)] 39155K(25152768K), 0.0557715 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2014-04-09T12:19:04.607+0900: 7.608: [CMS-concurrent-sweep-start]
2014-04-09T12:19:04.607+0900: 7.608: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-04-09T12:19:04.607+0900: 7.608: [CMS-concurrent-reset-start]
2014-04-09T12:19:04.721+0900: 7.722: [CMS-concurrent-reset: 0.114/0.114 secs] [Times: user=0.04 sys=0.08, real=0.12 secs] 
2014-04-09T12:19:06.120+0900: 9.121: [GC (Allocation Failure) 9.121: [ParNew: 117644K->13056K(118016K), 0.1078259 secs] 117644K->28394K(25152768K), 0.1080059 secs] [Times: user=1.05 sys=0.03, real=0.11 secs] 
2014-04-09T12:19:07.464+0900: 10.465: [GC (Allocation Failure) 10.465: [ParNew: 118016K->13056K(118016K), 0.0835146 secs] 133354K->36826K(25152768K), 0.0837940 secs] [Times: user=1.09 sys=0.00, real=0.08 secs] 
2014-04-09T12:19:07.836+0900: 10.837: [GC (Allocation Failure) 10.837: [ParNew: 118016K->13056K(118016K), 0.0925392 secs] 141786K->53040K(25152768K), 0.0928203 secs] [Times: user=1.06 sys=0.03, real=0.09 secs] 
2014-04-09T12:19:08.179+0900: 11.181: [GC (Allocation Failure) 11.181: [ParNew: 118016K->13056K(118016K), 0.1221005 secs] 158000K->71499K(25152768K), 0.1225037 secs] [Times: user=1.35 sys=0.02, real=0.13 secs] 
2014-04-09T12:19:08.525+0900: 11.526: [GC (Allocation Failure) 11.526: [ParNew: 118016K->13056K(118016K), 0.1039276 secs] 176459K->93564K(25152768K), 0.1043178 secs] [Times: user=1.34 sys=0.03, real=0.10 secs] 
2014-04-09T12:19:08.854+0900: 11.855: [GC (Allocation Failure) 11.855: [ParNew: 118016K->13056K(118016K), 0.1107984 secs] 198524K->114185K(25152768K), 0.1111721 secs] [Times: user=1.44 sys=0.02, real=0.11 secs] 
2014-04-09T12:19:09.154+0900: 12.155: [GC (Allocation Failure) 12.155: [ParNew: 118016K->13056K(118016K), 0.1465399 secs] 219145K->135573K(25152768K), 0.1468595 secs] [Times: user=1.63 sys=0.02, real=0.15 secs] 
2014-04-09T12:19:09.428+0900: 12.430: [GC (Allocation Failure) 12.430: [ParNew: 118016K->13056K(118016K), 0.1489141 secs] 240533K->168612K(25152768K), 0.1492451 secs] [Times: user=1.72 sys=0.03, real=0.15 secs] 
2014-04-09T12:19:09.688+0900: 12.689: [GC (Allocation Failure) 12.689: [ParNew: 118016K->13056K(118016K), 0.1472572 secs] 273572K->201849K(25152768K), 0.1475913 secs] [Times: user=1.62 sys=0.03, real=0.15 secs] 
2014-04-09T12:19:09.962+0900: 12.963: [GC (Allocation Failure) 12.963: [ParNew: 118016K->13056K(118016K), 0.1324385 secs] 306809K->235045K(25152768K), 0.1327661 secs] [Times: user=1.50 sys=0.04, real=0.13 secs] 
2014-04-09T12:19:10.229+0900: 13.230: [GC (Allocation Failure) 13.230: [ParNew: 118016K->13056K(118016K), 0.1308015 secs] 340005K->263049K(25152768K), 0.1311772 secs] [Times: user=1.62 sys=0.05, real=0.13 secs] 
